codigo;descricao;estadual;chave;versao
2071220;Carnes e miudezas comestiveis carnes e miudezas comestiveis frescas refrigeradas ou congeladas das aves da posicao 01 05 Sem miudezas;18.00;C07872;23.2.A
2071300;Pedacos e miudezas,de galos/galinhas, frescos/refriger.;18.00;C07872;23.2.A
2071400;Pedacos e miudezas,comest.de galos/galinhas, congelados;18.00;C07872;23.2.A
2072400;Carnes de peruas/perus,n/cort.pedacos, frescas/refriger.;18.00;C07872;23.2.A
2072500;Carnes de peruas/perus,n/cortadas em pedacos,congeladas;18.00;C07872;23.2.A
2072600;Carnes de peruas/perus,em pedacos,miudez. frescos/refrig;18.00;C07872;23.2.A
2072700;Carnes de peruas/perus,em pedacos e miudezas,congeladas;18.00;C07872;23.2.A
2074100;Carnes de patos, n/cort.em pedacos, frescas/refriger.;18.00;C07872;23.2.A
2074200;Carnes de patos,gansos,etc.n/cort.em pedacos,congeladas;18.00;C07872;23.2.A
2074300;Figados gordos,de patos (foie gras), frescos/refrig.;18.00;C07872;23.2.A
2074400;Outs.carnes/miudezas,de patos,frescas, refrig;18.00;C07872;23.2.A
2074500;Outs.carnes,miudezas,de patos, congeladas;18.00;C07872;23.2.A
2075100;Carnes de gansos n/cort.em pedacos, frescas/refriger.;18.00;C07872;23.2.A
2075200;Carnes de gansos n/cort.em pedacos,congeladas;18.00;C07872;23.2.A
2075300;Figados gordos,de gansos (foie gras), frescos/ refrig.;18.00;C07872;23.2.A
2075400;Outs.carnes/miudezas,de gansos, frescas, refrig;18.00;C07872;23.2.A
2075500;Outs.carnes,miudezas,de gansos, congeladas;18.00;C07872;23.2.A
2076000;Carnes e miudezas comestiveis de galinhas dangola (pintadas), frescas/refriger/ congeladas;18.00;C07872;23.2.A
2081000;Carnes/miudezas,de coelhos/lebres,frescas/ refrig/congel;18.00;C07872;23.2.A
2083000;Carnes e miudezas,de primatas,frescos/ refrig/congel;18.00;C07872;23.2.A
2084000;Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas ,frescos/ refrig/ congel;18.00;C07872;23.2.A
2085000;Carnes e miudezas,de repteis(incluidas as serpentes e as tartarugas marinhas), frescos/ refrig/congel;18.00;C07872;23.2.A
2086000;Carnes e miudezas,de camelos e outros camelideos, frescos/ refrig/congel;18.00;C07872;23.2.A
2089000;Carnes e miudezas,de outs.animais,frescos/ refrig/congel;18.00;C07872;23.2.A
2091011;Toucinho de porco sem partes magras, fresco/ refrigerado/ congelado;18.00;C07872;23.2.A
2091019;Toucinho sem partes magras,salgado/ salmoura/ seco/defum.;18.00;C07872;23.2.A
2091021;Gordura de porco,fresca,refrigerada ou congelada;18.00;C07872;23.2.A
2091029;Gordura de porco,n/fundida,salgada,em salmoura,seca,etc;18.00;C07872;23.2.A
2099000;Gordura de aves,n/fundida,fresca, refrigerada,congel.etc;18.00;C07872;23.2.A
2101100;Pernas/pas/pedacos,de suino,n/desossados, salgados,etc.;18.00;C07872;23.2.A
2101200;Barrigas e peitos,entremeados,de suino,salgados,etc.;18.00;C07872;23.2.A
2101900;Outs.carnes de suino,salgadas ou em salmoura,secas,etc.;18.00;C07872;23.2.A
2102000;Carnes de bovinos,salgadas/em salmoura/ secas/defumadas;18.00;C07872;23.2.A
2109100;Carnes e miudezas,de primatas,salgados,etc.;18.00;C07872;23.2.A
2109100;Miudezas, farinhas e pos dessas miudezas de primatas;18.00;C07872;23.2.A
2109200;Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas,salgados,etc.;18.00;C07872;23.2.A
2109200;Miudezas, farinhas e pos dessas miudezas de baleias, golfinhos e botos mamiferos da ordem dos cetaceos , de peixes-boi manatins e dugongos mamiferos da ordem dos sirenios , de otarias e focas, leoes-marinhos e morsas mamiferos da subordem dos pinipedes ;18.00;C07872;23.2.A
2109300;Carnes e miudezas,de repteis(incluidas as serpentes e as tartarugas marinhas), salgados,etc.;18.00;C07872;23.2.A
2109300;Miudezas, farinhas e pos dessas miudezas de repteis incluindo as serpentes e as tartarugas marinhas ;18.00;C07872;23.2.A
2109911;De galos e de galinhas;18.00;C07872;23.2.A
2109919;Outras;18.00;C07872;23.2.A
2109920;Carnes da especie ovina;18.00;C07872;23.2.A
2109930;Carnes da especie cavalar;18.00;C07872;23.2.A
2109940;Miudezas comestiveis;18.00;C07872;23.2.A
2109990;Outras;18.00;C07872;23.2.A
2109990;Farinhas e pos das miudezas do codigo 0210.99.40;18.00;C07872;23.2.A
3011110;Aruana (peixe ornamental);18.00;C07872;23.2.A
3011190;Outros peixes ornamentais, vivos, de agua doce;18.00;C07872;23.2.A
3011900;Outros peixes ornamentais vivos;18.00;C07872;23.2.A
3019110;Trutas (salmo trutta e oncorhynchus),para reproducao;18.00;C07872;23.2.A
3019190;Outros trutas (salmo trutta e oncorhynchus),vivas;18.00;C07872;23.2.A
3019210;Enguias (anguilla spp.) para reproducao;18.00;C07872;23.2.A
3019290;Outros enguias (anguilla spp.) vivas;18.00;C07872;23.2.A
3019310;Carpas para reproducao;18.00;C07872;23.2.A
3019390;Outros carpas vivas;18.00;C07872;23.2.A
3019410;Atuns-azuis (thunnus thynnus, thunnus orientalis) para reproducao;18.00;C07872;23.2.A
3019490;Outros atuns-azuis (thunnus thynnus, thunnus orientalis);18.00;C07872;23.2.A
3019510;Atuns-do-sul (thunnus maccoyii) para reproducao;18.00;C07872;23.2.A
3019590;Outros atuns-do-sul (thunnus maccoyii);18.00;C07872;23.2.A
3019911;Tilapias,peixes para reproducao;18.00;C07872;23.2.A
3019912;Esturjoes,peixes para reproducao;18.00;C07872;23.2.A
3019919;Outros peixes vivos para reproducao;18.00;C07872;23.2.A
3019991;Tilapias,peixes vivos;18.00;C07872;23.2.A
3019992;Esturjoes,peixes vivos;18.00;C07872;23.2.A
3019999;Outros peixes vivos;18.00;C07872;23.2.A
3021100;Trutas frescas,refrig.exc.files,outs. carnes, figados,etc;18.00;C07872;23.2.A
3021300;Salmoes-do-pacifico, frescos,refrig. exc.files,etc.;18.00;C07872;23.2.A
3021400;Salmoes-do-atlantico, frescos,refrig. exc.files,etc.;18.00;C07872;23.2.A
3021900;Outros salmonideos frescos,refrig.exc. files,etc.;18.00;C07872;23.2.A
3022100;Linguados-gigantes,frescos,refrig.exc. files,etc.;18.00;C07872;23.2.A
3022200;Solhas ou patrucas,frescas,refrig.exc. files,etc.;18.00;C07872;23.2.A
3022300;Linguados frescos,refrig.exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3022400;Pregado (psetta maxima),frescos,refrig.exc. files,etc.;18.00;C07872;23.2.A
3022900;Outros peixes chatos,frescos,refrig.exc. files,etc.;18.00;C07872;23.2.A
3023100;Atuns-brancos ou germoes,frescos/refriger. exc.files,etc;18.00;C07872;23.2.A
3023200;Albacoras/atuns barbat.amarela,frescas/ refrig. exc.files;18.00;C07872;23.2.A
3023300;Bonitos-listrados,etc.frescos,refrig.exc. files,etc.;18.00;C07872;23.2.A
3023400;Albacoras-bandolim (patutos) thunnus thinnus;18.00;C07872;23.2.A
3023500;Atuns azuis (thunnus thinnus (…);18.00;C07872;23.2.A
3023600;Atuns do sul thunnus maccoyii;18.00;C07872;23.2.A
3023900;Outs.atuns frescos,refrig.exc.files, outs. carnes,etc.;18.00;C07872;23.2.A
3024100;Arenques frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024210;Anchoitas frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024290;Outras anchovas frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024300;Sardinhas frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024400;Cavalinhas frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024500;Chicharros frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024600;Bijupiras frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024700;Espadartes frescos/refrigerados,exc. files,outs.carnes,etc;18.00;C07872;23.2.A
3024910;Espadins, marlins, veleiros (istiophoridae);18.00;C07872;23.2.A
3024990;Outros;18.00;C07872;23.2.A
3025100;Bacalhau do atlantico (...), bacalhau da groelandia (…) e bacalhau do pacifico (...), frescos/refrigerados, exc.files,etc.;18.00;C07872;23.2.A
3025200;Bacalhau haddoch ou lubina, frescos/refrigerados, exc.files,etc.;18.00;C07872;23.2.A
3025300;Bacalhau saithe frescos/refrigerados, exc.files,etc.;18.00;C07872;23.2.A
3025400;Merluzas e abroteas, frescos/refrigerados, exc.files,etc.;18.00;C07872;23.2.A
3025500;Merluza do alasca, frescos/refrigerados, exc.files,etc.;18.00;C07872;23.2.A
3025600;Verdinhos (…), frescos/refrigerados, exc.files,etc.;18.00;C07872;23.2.A
3025900;Outros peixes das fam. bregmacerotidae, gadidae, etc.;18.00;C07872;23.2.A
3027100;Tilapias frescas,refrig.exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3027210;Bagres (...),frescas,refrig.exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3027290;Outros bagres, frescas,refrig.exc.files, outs. carnes,etc.;18.00;C07872;23.2.A
3027300;Carpas,frescas,refrig.exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3027400;Enguias, frescas,refrig.exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3027900;Outros,frescas,refrig.exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3028100;Esqualos frescos,refrig.exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3028200;Raias, frescos,refrig.exc.files, outs. carnes,etc.;18.00;C07872;23.2.A
3028310;Merluzas-negras (dissostichus eleginoides);18.00;C07872;23.2.A
3028320;Merluzas antarticas (dissostichus mawsoni);18.00;C07872;23.2.A
3028400;Robalos, frescos,refrig.exc.files, outs. carnes,etc.;18.00;C07872;23.2.A
3028500;Pargos ou sargos, frescos,refrig.exc.files, outs. carnes,etc.;18.00;C07872;23.2.A
3028910;Pargo (Lutjanus purpureus);18.00;C07872;23.2.A
3028921;Cherne-poveiro (polyprion americanus), frescos ou refrigerados;18.00;C07872;23.2.A
3028922;Garoupas (acanthistius spp);18.00;C07872;23.2.A
3028923;Esturjoes (ascipenser baeri);18.00;C07872;23.2.A
3028924;Peixes-rei (atherindae spp);18.00;C07872;23.2.A
3028931;Curimatas (prochilodus spp.), fresco ou refrigerado;18.00;C07872;23.2.A
3028932;Tilapias, fresco ou refrigerado;18.00;C07872;23.2.A
3028933;Surubins (pseudoplatystoma spp.), fres. ou refrig.;18.00;C07872;23.2.A
3028934;Trairas (hoplias malabaricus & h. cf. lacerdae);18.00;C07872;23.2.A
3028935;Piaus (leporinus spp.), fresco ou refrigerado;18.00;C07872;23.2.A
3028936;Tainhas, fresco ou refrigerado;18.00;C07872;23.2.A
3028937;Pirarucu (arapaima gigas), fresco ou refrigerado;18.00;C07872;23.2.A
3028938;Pescadas, fresco ou refrigerado;18.00;C07872;23.2.A
3028941;Piramutabas, fresco ou refrigerado;18.00;C07872;23.2.A
3028942;Douradas, fresco ou refrigerado;18.00;C07872;23.2.A
3028943;Pacus, fresco ou refrigerado;18.00;C07872;23.2.A
3028944;Tambaquis, fresco ou refrigerado;18.00;C07872;23.2.A
3028945;Tambacu fresco ou resfriado;18.00;C07872;23.2.A
3028990;Outs.peixes frescos,refrig.exc.files, outs. carnes,etc.;18.00;C07872;23.2.A
3029110;Peixes e crustaceos moluscos e outros invertebrados aquaticos Peixes frescos ou refrigerados exceto os files filetes de peixes e outra carne de peixes da posicao 03 04 ovas de tainhas Mugil spp ;18.00;C07872;23.2.A
3029190;Peixes e crustaceos moluscos e outros invertebrados aquaticos Peixes frescos ou refrigerados exceto os files filetes de peixes e outra carne de peixes da posicao 03 04 outros;18.00;C07872;23.2.A
3029200;Barbatanas de tubarao;18.00;C07872;23.2.A
3029900;Outros;18.00;C07872;23.2.A
3031100;Salmoesvermelhos,congelados,exc.files,etc.;18.00;C07872;23.2.A
3031200;Oiutros salmoes do pacifico ,congelados, exc.files,etc.;18.00;C07872;23.2.A
3031300;Salmoes-do-atlantico e danubio,congelados, exc.files,etc;18.00;C07872;23.2.A
3031400;Trutas (salmo trutta,etc.) congeladas, exc.files,etc.;18.00;C07872;23.2.A
3031900;Outs.salmonideos congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3032300;Tilapias;18.00;C07872;23.2.A
3032410;Bagres congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3032490;Outros bagres congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3032500;Carpas congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3032600;Enguias congeladas,exc.files,outs.carnes, figados,etc.;18.00;C07872;23.2.A
3032900;Outros tilapias, bagres, perca-do-nilo (...), congeladas,exc.files,outs.carnes, figados,etc.;18.00;C07872;23.2.A
3033100;Linguados-gigantes congelados,exc.files. outs. carnes,etc;18.00;C07872;23.2.A
3033200;Solhas ou patrucas,congeladas,exc.files, outs. carnes,etc;18.00;C07872;23.2.A
3033300;Linguados congelados,exc.files,outs.carnes, figados,etc.;18.00;C07872;23.2.A
3033400;Pregados,congelados,exc.files, outs. carnes,etc;18.00;C07872;23.2.A
3033900;Outs.peixes chatos,congelados,exc.files, outs. carnes,etc;18.00;C07872;23.2.A
3034100;Albacoras brancas,congelados, exc. files,etc.;18.00;C07872;23.2.A
3034200;Albacoras/laje,congeladas, exc.files,etc;18.00;C07872;23.2.A
3034300;Bonitos-listrados,etc.congelados, exc.files,etc.;18.00;C07872;23.2.A
3034400;Albacoras-bandolin (patudos) congelados, exc.files, outs. carnes,figados,etc;18.00;C07872;23.2.A
3034500;Atuns-azuis (...), congelados,exc.files, outs.carnes, figados,etc;18.00;C07872;23.2.A
3034600;Atuns do sul congelados,exc.files, outs. carnes,figados,etc;18.00;C07872;23.2.A
3034900;Outs.atuns congelados,exc.files,outs. carnes, figados,etc;18.00;C07872;23.2.A
3035100;Arenques congelados,exc.files,outs. carnes, figados,etc.;18.00;C07872;23.2.A
3035300;Sardinhas, (…) anchovetas, congeladas, exc.files,etc.;18.00;C07872;23.2.A
3035400;Cavalinhas,congeladas, exc. files,etc.;18.00;C07872;23.2.A
3035500;Chicharros,congeladas, exc. files,etc.;18.00;C07872;23.2.A
3035600;Bijupiras,congeladas, exc. files,etc.;18.00;C07872;23.2.A
3035700;Espadartes congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3035910;Espadins, marlins, veleiros (istiophoridae);18.00;C07872;23.2.A
3035920;Anchoita (engraulis anchoita);18.00;C07872;23.2.A
3035990;Outros;18.00;C07872;23.2.A
3036300;Bacalhau do atlantico,bacalhau da groelandia (...), congelados,exc.files, outs. carnes,etc.;18.00;C07872;23.2.A
3036400;Haddocks congelados,exc.files,outs. carnes, figados,etc;18.00;C07872;23.2.A
3036500;Saithe congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3036600;Merluzas e abroteas,congeladas, exc.files,etc.;18.00;C07872;23.2.A
3036700;Merluzas do alasca,congeladas, exc.files,etc.;18.00;C07872;23.2.A
3036800;Verdinhos,congelados, exc.files,etc.;18.00;C07872;23.2.A
3036910;Merluzas rosadas congelados,exc.files,outs. carnes, etc.;18.00;C07872;23.2.A
3036990;Outros peixes das familias bregmacerotidae (...), congelados,exc.files,outs. carnes, etc.;18.00;C07872;23.2.A
3038111;Tubaroes-azuis inteiros,congelados;18.00;C07872;23.2.A
3038112;Tubaroes-azuis, congelad.eviscerad. s/cabeca, s/barbatana;18.00;C07872;23.2.A
3038113;Tubaroes-azuis,congelados,em pedacos, com pele;18.00;C07872;23.2.A
3038114;Tubaroes-azuis,congelados,em pedacos, sem pele;18.00;C07872;23.2.A
3038119;Outros tubaroes-azuis congelados;18.00;C07872;23.2.A
3038190;Outs.peixes esqualos,congelados;18.00;C07872;23.2.A
3038200;Raias,congeladas;18.00;C07872;23.2.A
3038311;Merluzas negras congelados,exc.files, outs. carnes, etc. evisceradas, sem cabeca e sem cauda;18.00;C07872;23.2.A
3038319;Outras merluzas;18.00;C07872;23.2.A
3038321;Meluzas do antartico evisceradas, sem cabeca e sem cauda;18.00;C07872;23.2.A
3038329;Outras merluzas do antartico;18.00;C07872;23.2.A
3038400;Robalos congeladas,exc. files,etc.;18.00;C07872;23.2.A
3038910;Corvinas congeladas,exc.files,outs.carnes, figados,etc.;18.00;C07872;23.2.A
3038920;Pescadas congeladas,exc.files,outs.carnes, figados,etc.;18.00;C07872;23.2.A
3038932;Pargos congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3038933;Peixes-sapo congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3038941;Chernes-poveiro congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3038942;Garoupas congelados,exc.files,outs. carnes, etc.;18.00;C07872;23.2.A
3038943;Tainhas congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3038944;Esturjoes congelados,exc.files,outs. carnes, etc.;18.00;C07872;23.2.A
3038945;Peixes-rei congelados,exc.files,outs. carnes, etc.;18.00;C07872;23.2.A
3038946;Nototenias congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3038951;Curimatas congelados;18.00;C07872;23.2.A
3038952;Tilapias congelados;18.00;C07872;23.2.A
3038953;Surubins congelados;18.00;C07872;23.2.A
3038954;Trairas congelados;18.00;C07872;23.2.A
3038955;Piaus congelados;18.00;C07872;23.2.A
3038956;Pirarucus congelados;18.00;C07872;23.2.A
3038961;Piramutabas congelados;18.00;C07872;23.2.A
3038962;Douradas congelados;18.00;C07872;23.2.A
3038963;Pacus congelados;18.00;C07872;23.2.A
3038964;Tambaquis congelados;18.00;C07872;23.2.A
3038965;Tambacus congelados;18.00;C07872;23.2.A
3038990;Outs.peixes congelados,exc.files,outs. carnes,etc.;18.00;C07872;23.2.A
3039110;Peixes e crustaceos moluscos e outros invertebrados aquaticos Peixes congelados exceto os files filetes de peixes e outra carne de peixes da posicao 03 04 ovas de tainhas Mugil spp ;18.00;C07872;23.2.A
3039190;Peixes e crustaceos moluscos e outros invertebrados aquaticos Peixes congelados exceto os files filetes de peixes e outra carne de peixes da posicao 03 04 outros;18.00;C07872;23.2.A
3039200;Barbatanas de tubarao;18.00;C07872;23.2.A
3039910;Cabecas de Merluza negra (Dissostichus eleginoides);18.00;C07872;23.2.A
3039920;Cabecas de Merluza antartica (Dissostichus mawsoni);18.00;C07872;23.2.A
3039990;Outros;18.00;C07872;23.2.A
3043100;Files de tilapias,frescos ou refrigerados;18.00;C07872;23.2.A
3043210;Files de bagres,frescos ou refrigerados;18.00;C07872;23.2.A
3043290;Files de outros bagres,frescos ou refrigerados;18.00;C07872;23.2.A
3043300;Files de perca-do-nilo,frescos ou refrigerados;18.00;C07872;23.2.A
3043900;Outros files,frescos ou refrigerados;18.00;C07872;23.2.A
3044100;Files e outs.carnes de salmoes do pacifico,frescos ou refrigerados;18.00;C07872;23.2.A
3044200;Files e outs.carnes de trutas,frescos ou refrigerados;18.00;C07872;23.2.A
3044300;Files e outs.carnes de peixes chatos,frescos ou refrigerados;18.00;C07872;23.2.A
3044400;Files e outs.carnes de peixes da familia das bregmacerotidae,frescos ou refrigerados;18.00;C07872;23.2.A
3044500;Files e outs.carnes de espadarte,frescos ou refrigerados;18.00;C07872;23.2.A
3044600;Files e outs.carnes de merluza-negra e merluza-antartica,frescos ou refrigerados;18.00;C07872;23.2.A
3044700;Cacao e outros tubaroes;18.00;C07872;23.2.A
3044800;Raias (rajidae);18.00;C07872;23.2.A
3044910;Files e outs.carnes de cherne-poveiro, frescos ou refrigerados;18.00;C07872;23.2.A
3044920;Files e outs.carnes de garoupa,frescos ou refrigerados;18.00;C07872;23.2.A
3044990;Files e outs.carnes de outros peixes,frescos ou refrigerados;18.00;C07872;23.2.A
3045100;Files e outs.carnes de tilapias,frescos ou refrigerados;18.00;C07872;23.2.A
3045200;Files e outs.carnes de salmonideos,frescos ou refrigerados;18.00;C07872;23.2.A
3045300;Files e outs.carnes de peixes da familia das bregmacerotidae,frescos ou refrigerados;18.00;C07872;23.2.A
3045400;Files e outs.carnes de espadarte,frescos ou refrigerados;18.00;C07872;23.2.A
3045500;Files e outs.carnes de merluza-negra e merluza-antartica,frescos ou refrigerados;18.00;C07872;23.2.A
3045600;Cacao e outros tubaroes;18.00;C07872;23.2.A
3045700;Raias (rajidae);18.00;C07872;23.2.A
3045900;Files e outs.carnes de peixes,frescos ou refrigerados;18.00;C07872;23.2.A
3046100;Files de tilapias,congelados;18.00;C07872;23.2.A
3046210;Files de bagre,congelados;18.00;C07872;23.2.A
3046290;Files de outros bagres,congelados;18.00;C07872;23.2.A
3046300;Files de perca-do-nilo,congelados;18.00;C07872;23.2.A
3046900;Files de outras tilapias,congelados;18.00;C07872;23.2.A
3047100;Bacalhau do atlantico,bacalhau da groelandia (...), files congelados.;18.00;C07872;23.2.A
